"Year","Country","New_cases","New_deaths","Cumulative_cases","Cumulative_deaths","Cases_100k","Deaths_100k"
2022,"Slovakia",992140,3714,1833873,20349,2109.83544050468,16.7311242296949
2022,"Slovenia",660737,1998,1122961,8121,31388.9311163895,94.916864608076
2022,"Solomon Islands",21520,153,21544,153,2984.74341192788,21.2205270457698
2022,"Somalia",3488,28,27020,1361,20.710129438309,0.166251039068994
2022,"South Africa",564899,11023,4011431,102084,929.783066693002,18.1430640595168
2022,"South Sudan",2154,2,17780,138,18.5386005680351,0.0172131852999398
2022,"Spain",6827450,20988,13332976,112454,14441.3774139645,44.3936798020179
2022,"Sri Lanka",82574,1713,669819,16692,371.302666486802,7.70268447322272
2022,"Sudan",16403,1624,63228,4961,35.6648982431727,3.53104887806575
2022,"Suriname",28991,194,81022,1383,4856.11390284757,32.4958123953099
2022,"Sweden",1249884,4447,2564423,19810,11935.4851031322,42.4656226126814
2022,"Switzerland",2675795,1582,4010638,13504,30573.5260511883,18.0758683729433
2022,"Syrian Arab Republic",6765,270,57008,3163,34.9341595662277,1.39426800929512
2022,"Türkiye",7230084,18202,16671848,100400,2109.83544050468,16.7311242296949
2022,"Tajikistan",293,0,17786,125,2.94265340966154,0
2022,"Thailand",2425244,10577,4648679,32275,3460.77799023945,15.0931818830446
2022,"The United Kingdom",10051079,37967,23493327,187761,2109.83544050468,16.7311242296949
2022,"Timor-Leste",3324,16,23161,138,242.804967129291,1.16873630387144
2022,"Togo",8302,34,38465,282,95.6341435318512,0.391659947010713
2022,"Tokelau",0,0,0,0,2109.83544050468,16.7311242296949
2022,"Tonga",15234,12,15235,12,14105.5555555556,11.1111111111111
2022,"Trinidad and Tobago",87858,1307,178687,4132,6244.34968017058,92.8926794598436
2022,"Tunisia",417325,3669,1143167,29233,3464.14044990454,30.4557151157965
2022,"Turkmenistan",0,0,0,0,0,0
2022,"Turks and Caicos Islands",3076,10,6359,36,7690,25
2022,"Tuvalu",20,0,20,0,166.666666666667,0
2022,"Uganda",26220,331,168891,3628,54.1366423719365,0.683418330477154
2022,"Ukraine",1377292,12904,5044941,108803,3164.29720167256,29.6466479805174
2022,"United Arab Emirates",254876,179,1014387,2341,2528.03015274747,1.77544138067844
2022,"United Republic of Tanzania",9406,104,38712,841,2109.83544050468,16.7311242296949
2022,"United States of America",39404260,214096,92953690,1033207,2109.83544050468,16.7311242296949
2022,"United States Virgin Islands",13426,33,22481,122,2109.83544050468,16.7311242296949
2022,"Uruguay",568849,1277,979160,7445,16271.4244851259,36.5274599542334
2022,"Uzbekistan",44881,152,243784,1637,126.875671397071,0.429694125628993
2022,"Vanuatu",11773,14,11780,14,3656.21118012422,4.34782608695652
2022,"Venezuela (Bolivarian Republic of)",98066,475,542252,5796,2109.83544050468,16.7311242296949
2022,"Viet Nam",9690969,10945,11405711,43113,2109.83544050468,16.7311242296949
2022,"Wallis and Futuna",308,0,761,7,2109.83544050468,16.7311242296949
2022,"Yemen",1800,171,11926,2155,2109.83544050468,16.7311242296949
2022,"Zambia",83334,286,332527,4016,428.012326656394,1.46892655367232
2022,"Zimbabwe",44980,596,256708,5593,293.392472767595,3.88754810514644
